Disease,Department,Severity,Risk_Level,Advice,Prevention,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,loss of appetite,weakness,nausea,joint pain,bleeding gums,skin rash,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,vomiting,weakness,eye pain,loss of appetite,fatigue,muscle pain,joint pain,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,weakness,muscle pain,loss of appetite,fatigue,bleeding gums,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,high fever,vomiting,nausea,fatigue,eye pain,bleeding gums,loss of appetite,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,high fever,joint pain,eye pain,vomiting,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,headache,eye pain,weakness,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,weakness,joint pain,fatigue,bleeding gums,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,skin rash,vomiting,fatigue,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,vomiting,bleeding gums,eye pain,fatigue,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,loss of appetite,nausea,diarrhea,high fever,chills,weakness,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,chills,muscle pain,loss of appetite,diarrhea,weakness,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,weakness,headache,high fever,abdominal pain,fatigue,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,headache,fatigue,loss of appetite,muscle pain,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,diarrhea,muscle pain,sweating,loss of appetite,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,chills,abdominal pain,muscle pain,vomiting,nausea,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,nausea,headache,loss of appetite,abdominal pain,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,headache,diarrhea,sweating,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,fatigue,abdominal pain,headache,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,weakness,headache,nausea,loss of appetite,vomiting,abdominal pain,muscle pain,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,muscle pain,abdominal pain,fatigue,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,weakness,headache,high fever,muscle pain,loss of appetite,abdominal pain,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,abdominal pain,nausea,headache,vomiting,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,loss of appetite,weakness,headache,sweating,fatigue,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,loss of appetite,weakness,high fever,headache,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,high fever,abdominal pain,fatigue,sweating,chills,diarrhea,muscle pain,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,sweating,vomiting,weakness,diarrhea,fatigue,headache,muscle pain,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,sweating,headache,nausea,loss of appetite,fatigue,muscle pain,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,chills,sweating,vomiting,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,diarrhea,fatigue,chills,muscle pain,high fever,sweating,headache,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,fatigue,headache,muscle pain,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,chills,loss of appetite,vomiting,nausea,high fever,headache,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,abdominal pain,vomiting,chills,nausea,headache,fatigue,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,chills,sweating,high fever,abdominal pain,headache,vomiting,diarrhea,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,diarrhea,sweating,muscle pain,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,fatigue,loss of appetite,diarrhea,muscle pain,sweating,vomiting,weakness,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,abdominal pain,muscle pain,headache,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,weakness,fatigue,vomiting,nausea,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,fatigue,chills,loss of appetite,diarrhea,high fever,weakness,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,vomiting,chills,nausea,loss of appetite,weakness,fatigue,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,high fever,fatigue,vomiting,sweating,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,chills,diarrhea,vomiting,abdominal pain,loss of appetite,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,sweating,abdominal pain,high fever,headache,weakness,chills,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,sweating,chills,high fever,weakness,abdominal pain,diarrhea,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,abdominal pain,fatigue,high fever,sweating,headache,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,sweating,muscle pain,diarrhea,chills,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,weakness,fatigue,diarrhea,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,diarrhea,vomiting,high fever,,,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,nausea,loss of appetite,high fever,abdominal pain,weakness,muscle pain,,,,,,
Malaria,General Medicine,High,High,Start antimalarial treatment immediately.,Use mosquito nets and insect repellents.,muscle pain,loss of appetite,chills,nausea,diarrhea,high fever,weakness,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,abdominal pain,headache,chills,fatigue,diarrhea,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,muscle pain,weakness,fatigue,diarrhea,chills,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,headache,nausea,weakness,vomiting,constipation,muscle pain,chills,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,loss of appetite,diarrhea,constipation,muscle pain,headache,abdominal pain,vomiting,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,chills,fatigue,loss of appetite,abdominal pain,diarrhea,high fever,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,headache,nausea,constipation,chills,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,abdominal pain,weakness,high fever,chills,loss of appetite,diarrhea,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,loss of appetite,nausea,high fever,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,fatigue,loss of appetite,headache,vomiting,weakness,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,vomiting,headache,loss of appetite,weakness,muscle pain,high fever,abdominal pain,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,weakness,muscle pain,chills,high fever,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,high fever,abdominal pain,fatigue,muscle pain,loss of appetite,chills,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,abdominal pain,nausea,muscle pain,constipation,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,abdominal pain,chills,high fever,headache,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,nausea,diarrhea,loss of appetite,abdominal pain,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,fatigue,loss of appetite,muscle pain,headache,high fever,weakness,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,high fever,headache,fatigue,diarrhea,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,diarrhea,muscle pain,nausea,constipation,fatigue,headache,chills,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,loss of appetite,constipation,headache,fatigue,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,weakness,chills,fatigue,high fever,vomiting,diarrhea,muscle pain,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,high fever,vomiting,fatigue,chills,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,fatigue,nausea,loss of appetite,headache,high fever,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,nausea,constipation,abdominal pain,muscle pain,chills,fatigue,loss of appetite,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,weakness,nausea,loss of appetite,headache,constipation,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,high fever,diarrhea,headache,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,constipation,nausea,chills,weakness,abdominal pain,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,constipation,high fever,loss of appetite,abdominal pain,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,nausea,loss of appetite,headache,constipation,muscle pain,diarrhea,vomiting,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,weakness,headache,constipation,fatigue,loss of appetite,chills,abdominal pain,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,headache,weakness,nausea,chills,vomiting,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,loss of appetite,chills,abdominal pain,vomiting,headache,diarrhea,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,vomiting,abdominal pain,muscle pain,chills,headache,diarrhea,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,diarrhea,muscle pain,chills,nausea,loss of appetite,constipation,weakness,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,abdominal pain,diarrhea,headache,chills,weakness,loss of appetite,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,fatigue,muscle pain,high fever,loss of appetite,headache,abdominal pain,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,diarrhea,high fever,chills,loss of appetite,fatigue,muscle pain,weakness,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,nausea,weakness,constipation,,,,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,muscle pain,weakness,high fever,diarrhea,vomiting,abdominal pain,fatigue,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,weakness,abdominal pain,high fever,diarrhea,headache,constipation,chills,,,,,
Typhoid,General Medicine,High,High,Take prescribed antibiotics and stay hydrated.,Drink clean water and maintain food hygiene.,weakness,chills,abdominal pain,high fever,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,confusion,sweating,bluish lips,loss of appetite,chest pain,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,rapid breathing,fatigue,chills,weakness,confusion,sweating,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,confusion,rapid breathing,cough,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,cough,loss of appetite,chills,fatigue,bluish lips,rapid breathing,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,rapid breathing,cough,weakness,chest pain,confusion,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,confusion,chills,chest pain,cough,loss of appetite,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,rapid breathing,chest pain,loss of appetite,cough,confusion,chills,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,loss of appetite,rapid breathing,fever,bluish lips,fatigue,cough,chills,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,sweating,shortness of breath,bluish lips,chest pain,loss of appetite,fever,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,cough,loss of appetite,bluish lips,weakness,fever,rapid breathing,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,weakness,chest pain,confusion,chills,bluish lips,cough,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,confusion,weakness,chest pain,sweating,fever,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,rapid breathing,bluish lips,shortness of breath,sweating,fatigue,chills,confusion,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,shortness of breath,loss of appetite,confusion,fatigue,sweating,chills,cough,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,weakness,sweating,confusion,fatigue,chills,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,loss of appetite,confusion,chills,chest pain,shortness of breath,weakness,fatigue,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fatigue,fever,sweating,rapid breathing,cough,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fatigue,cough,chest pain,confusion,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,loss of appetite,chest pain,chills,cough,shortness of breath,weakness,sweating,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fever,chills,confusion,bluish lips,rapid breathing,cough,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,cough,rapid breathing,shortness of breath,fever,bluish lips,loss of appetite,sweating,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,chest pain,confusion,fever,fatigue,sweating,rapid breathing,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,confusion,sweating,bluish lips,fever,cough,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fatigue,shortness of breath,chest pain,loss of appetite,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,cough,fatigue,shortness of breath,bluish lips,confusion,fever,sweating,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,weakness,sweating,cough,loss of appetite,chills,shortness of breath,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,loss of appetite,weakness,shortness of breath,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fatigue,chills,fever,rapid breathing,shortness of breath,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,chest pain,bluish lips,cough,loss of appetite,rapid breathing,fever,fatigue,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,chills,sweating,fever,confusion,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fatigue,fever,rapid breathing,cough,weakness,loss of appetite,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,weakness,rapid breathing,chest pain,fever,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,loss of appetite,rapid breathing,chest pain,sweating,confusion,bluish lips,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,chest pain,cough,sweating,fever,fatigue,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,fever,shortness of breath,confusion,rapid breathing,fatigue,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,loss of appetite,sweating,fatigue,fever,shortness of breath,chest pain,chills,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,bluish lips,rapid breathing,fatigue,cough,,,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,chills,confusion,sweating,bluish lips,rapid breathing,cough,,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,confusion,sweating,rapid breathing,loss of appetite,fatigue,chills,fever,,,,,
Pneumonia,Pulmonology,High,High,Seek medical attention immediately.,Vaccination and good respiratory hygiene.,cough,chills,weakness,chest pain,fatigue,loss of appetite,fever,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,loss of appetite,breathing difficulty,fatigue,chills,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chills,chest pain,night sweats,coughing blood,loss of appetite,fever,persistent cough,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chills,chest pain,fatigue,persistent cough,weight loss,loss of appetite,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,loss of appetite,weakness,night sweats,persistent cough,chills,chest pain,fatigue,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,persistent cough,night sweats,weight loss,fever,loss of appetite,breathing difficulty,weakness,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chills,night sweats,coughing blood,loss of appetite,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,coughing blood,weight loss,chills,night sweats,loss of appetite,fever,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,breathing difficulty,fatigue,fever,weight loss,persistent cough,loss of appetite,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,coughing blood,weakness,chest pain,breathing difficulty,weight loss,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,fatigue,coughing blood,fever,swollen lymph nodes,breathing difficulty,weight loss,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,night sweats,weight loss,coughing blood,swollen lymph nodes,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,weight loss,breathing difficulty,loss of appetite,chills,swollen lymph nodes,fatigue,chest pain,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,fatigue,night sweats,breathing difficulty,loss of appetite,fever,persistent cough,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,night sweats,fever,coughing blood,persistent cough,loss of appetite,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,coughing blood,weakness,night sweats,weight loss,breathing difficulty,chills,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,swollen lymph nodes,coughing blood,weakness,chest pain,chills,breathing difficulty,fatigue,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,night sweats,loss of appetite,weight loss,coughing blood,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,breathing difficulty,weakness,loss of appetite,night sweats,swollen lymph nodes,chest pain,weight loss,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,weakness,persistent cough,weight loss,swollen lymph nodes,night sweats,coughing blood,chills,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,loss of appetite,fever,swollen lymph nodes,weakness,fatigue,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,fatigue,fever,weakness,swollen lymph nodes,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,breathing difficulty,fatigue,chills,weakness,weight loss,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chills,swollen lymph nodes,night sweats,breathing difficulty,loss of appetite,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,persistent cough,weight loss,swollen lymph nodes,fatigue,,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chills,chest pain,swollen lymph nodes,persistent cough,coughing blood,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,breathing difficulty,fatigue,coughing blood,fever,chest pain,night sweats,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,weight loss,persistent cough,night sweats,coughing blood,chest pain,fever,weakness,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,loss of appetite,chills,night sweats,swollen lymph nodes,weakness,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,chest pain,night sweats,loss of appetite,weakness,weight loss,breathing difficulty,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,coughing blood,weight loss,fatigue,swollen lymph nodes,fever,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,weight loss,persistent cough,fatigue,chest pain,weakness,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,night sweats,loss of appetite,chills,breathing difficulty,fever,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,coughing blood,weakness,swollen lymph nodes,chills,fatigue,,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,persistent cough,weight loss,chest pain,weakness,coughing blood,breathing difficulty,chills,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,persistent cough,swollen lymph nodes,fatigue,coughing blood,weakness,night sweats,,,,,,
Tuberculosis,Pulmonology,High,High,Complete the full course of TB medication.,Early diagnosis and avoid close contact with infected persons.,weight loss,chest pain,night sweats,fatigue,,,,,,,,
